Scheme Code,Division Code,Division Description,Treasury Code,Treasury,Grant Number,Grant Head Description,Major Head Code,Major Head Description,Scheme Code Description,Standard Object Code,Standard Object Description,Plan / Non-Plan,Voted / Charged,fiscal_year,Progressive Allotment,Actual Progressive Expenditure upto month (October),Provisional Current Month Expenditure(November),Total Expenditure Upto Month (November),% A/E,overall expenditure,excess
4202012020101,4300.0,LUCKNOW COLL.,60.0,LUCKNOW-JB,72,शिक्षा विभाग (माध्यमिक शिक्षा),4202,,कस्तूरबा गांधी बालिका विद्यालय का छात्रावास भवन (के.60/रा.40-के.+रा.),24,वृहत् निर्माण कार्य,N,V,2017-2018,1380480000.0,548097000.0,0,548097000.0,39.7,548097000.0,832383000.0
4202012020101,4300.0,LUCKNOW COLL.,60.0,LUCKNOW-JB,72,शिक्षा विभाग (माध्यमिक शिक्षा),4202,,कस्तूरबा गांधी बालिका विद्यालय का छात्रावास भवन (के.60/रा.40-के.+रा.),24,वृहत् निर्माण कार्य,N,V,2017-2018,1380480000.0,548097000.0,0,548097000.0,39.7,548097000.0,832383000.0
4202012020101,4300.0,LUCKNOW COLL.,60.0,LUCKNOW-JB,72,शिक्षा विभाग (माध्यमिक शिक्षा),4202,,कस्तूरबा गांधी बालिका विद्यालय का छात्रावास भवन (के.60/रा.40-के.+रा.),24,वृहत् निर्माण कार्य,N,V,2017-2018,1380480000.0,548097000.0,0,548097000.0,39.7,548097000.0,832383000.0
4202012020101,4300.0,LUCKNOW COLL.,60.0,LUCKNOW-JB,72,शिक्षा विभाग (माध्यमिक शिक्षा),4202,,कस्तूरबा गांधी बालिका विद्यालय का छात्रावास भवन (के.60/रा.40-के.+रा.),24,वृहत् निर्माण कार्य,N,V,2017-2018,1380480000.0,548097000.0,0,548097000.0,39.7,548097000.0,832383000.0
4202012020101,4300.0,LUCKNOW COLL.,60.0,LUCKNOW-JB,72,शिक्षा विभाग (माध्यमिक शिक्षा),4202,,कस्तूरबा गांधी बालिका विद्यालय का छात्रावास भवन (के.60/रा.40-के.+रा.),24,वृहत् निर्माण कार्य,N,V,2017-2018,1380480000.0,548097000.0,0,548097000.0,39.7,548097000.0,832383000.0
4202012020101,4300.0,LUCKNOW COLL.,60.0,LUCKNOW-JB,72,शिक्षा विभाग (माध्यमिक शिक्षा),4202,,कस्तूरबा गांधी बालिका विद्यालय का छात्रावास भवन (के.60/रा.40-के.+रा.),24,वृहत् निर्माण कार्य,N,V,2017-2018,1380480000.0,548097000.0,0,548097000.0,39.7,548097000.0,832383000.0
4202012020101,4300.0,LUCKNOW COLL.,60.0,LUCKNOW-JB,72,शिक्षा विभाग (माध्यमिक शिक्षा),4202,,कस्तूरबा गांधी बालिका विद्यालय का छात्रावास भवन (के.60/रा.40-के.+रा.),24,वृहत् निर्माण कार्य,N,V,2017-2018,1380480000.0,548097000.0,0,548097000.0,39.7,548097000.0,832383000.0
4202012010101,4300.0,LUCKNOW COLL.,47.0,HARDOI,71,शिक्षा विभाग (प्राथमिक शिक्षा),4202,,सर्व शिक्षा अभियान के अन्तर्गत प्राथमिक एवं उच्च प्राथमिक विद्यालयों में अवस्थापना सुविधाओं का विकास (के.60/रा.40-के.+रा.),24,वृहत् निर्माण कार्य,N,V,2017-2018,38031585.0,22640896.0,0,22640896.0,59.53,22640896.0,15390689.0
4202012010101,1100.0,BAREILLY,16.0,PILIBHIT,71,शिक्षा विभाग (प्राथमिक शिक्षा),4202,,सर्व शिक्षा अभियान के अन्तर्गत प्राथमिक एवं उच्च प्राथमिक विद्यालयों में अवस्थापना सुविधाओं का विकास (के.60/रा.40-के.+रा.),24,वृहत् निर्माण कार्य,N,V,2017-2018,11944232.0,972032.0,0,972032.0,8.14,972032.0,10972200.0
4202012010101,800.0,AGRA,10.0,ETAH,71,शिक्षा विभाग (प्राथमिक शिक्षा),4202,,सर्व शिक्षा अभियान के अन्तर्गत प्राथमिक एवं उच्च प्राथमिक विद्यालयों में अवस्थापना सुविधाओं का विकास (के.60/रा.40-के.+रा.),24,वृहत् निर्माण कार्य,N,V,2017-2018,29785594.0,21191022.0,0,21191022.0,71.15,21191022.0,8594572.0
